Wpisy tekstowe dla probki : Nr probki,"T2"
Wlasciwosci probki : Szerokosc,"10.00",mm
Wla�ciwo�ci pr�bki : Grubo��,"1.00",mm
Pole przekroju : Pole przekroju,"10.00",mm^2
Test : Tempo 1,"0.2",mm/min
Wlasciwosci probki : Rozpi�to�� podparcia,"80.00000",mm
Uwagi do probki : 1 Notatka o pr�bce,""

Godzina,obci��enie,Przemieszczenie przy zginaniu
(s),(N),(mm)
"0.00000","1.37551","0.00000"
"0.10000","1.37201","0.00000"
"0.20000","1.39927","0.00010"
"0.30000","1.44784","0.00027"
"0.40000","1.57997","0.00060"
"0.50000","1.87713","0.00127"
"0.60000","2.06854","0.00173"
"0.70000","2.21888","0.00207"
"0.80000","2.35139","0.00239"
"0.90000","2.48309","0.00270"
"1.00000","2.62378","0.00302"
"1.10000","2.77216","0.00336"
"1.20000","2.92554","0.00371"
"1.30000","3.07751","0.00403"
"1.40000","3.21432","0.00437"
"1.50000","3.35988","0.00470"
"1.60000","3.53901","0.00503"
"1.70000","3.70233","0.00537"
"1.80000","3.82834","0.00570"
"1.90000","3.97525","0.00603"
"2.00000","4.14266","0.00637"
"2.10000","4.30069","0.00670"
"2.20000","4.45497","0.00703"
"2.30000","4.62451","0.00736"
"2.40000","4.76159","0.00768"
"2.50000","4.91456","0.00803"
"2.60000","5.08287","0.00836"
"2.70000","5.25813","0.00869"
"2.80000","5.43176","0.00904"
"2.90000","5.56714","0.00936"
"3.00000","5.72637","0.00969"
"3.10000","5.90164","0.01003"
"3.20000","6.08491","0.01036"
"3.30000","6.24132","0.01069"
"3.40000","6.40827","0.01103"
"3.50000","6.56654","0.01136"
"3.60000","6.76776","0.01170"
"3.70000","6.92615","0.01203"
"3.80000","7.09652","0.01236"
"3.90000","7.26244","0.01270"
"4.00000","7.42661","0.01303"
"4.10000","7.61212","0.01335"
"4.20000","7.77063","0.01368"
"4.30000","7.93709","0.01401"
"4.40000","8.10448","0.01436"
"4.50000","8.30556","0.01470"
"4.60000","8.50045","0.01504"
"4.70000","8.66280","0.01537"
"4.80000","8.81366","0.01570"
"4.90000","8.98808","0.01604"
"5.00000","9.19345","0.01637"
"5.10000","9.37041","0.01670"
"5.20000","9.53442","0.01703"
"5.30000","9.68703","0.01737"
"5.40000","9.89162","0.01771"
"5.50000","10.07039","0.01804"
"5.60000","10.24647","0.01836"
"5.70000","10.41845","0.01871"
"5.80000","10.59437","0.01904"
"5.90000","10.77477","0.01938"
"6.00000","10.95087","0.01970"
"6.10000","11.14309","0.02004"
"6.20000","11.31428","0.02036"
"6.30000","11.49159","0.02068"
"6.40000","11.67225","0.02102"
"6.50000","11.85723","0.02137"
"6.60000","12.03627","0.02171"
"6.70000","12.23770","0.02205"
"6.80000","12.41327","0.02238"
"6.90000","12.59495","0.02270"
"7.00000","12.78089","0.02305"
"7.10000","12.95972","0.02338"
"7.20000","13.14989","0.02371"
"7.30000","13.32598","0.02405"
"7.40000","13.52101","0.02438"
"7.50000","13.69590","0.02471"
