Wpisy tekstowe dla próbki : Nr próbki;""
W³aœciwoœci próbki : Szerokoœæ;"10,00";mm
W³aœciwoœci próbki : Gruboœæ;"1,00";mm
Pole przekroju : Pole przekroju;"10,00";mm^2
Test : Tempo 1;"0,2";mm/min
W³aœciwoœci próbki : Rozpiêtoœæ podparcia;"80,00000";mm
Uwagi do próbki : 1 Notatka o próbce;""

Godzina;obci¹¿enie;Przemieszczenie przy zginaniu
(s);(N);(mm)
"0,00000";"2,47692";"0,00000"
"0,10000";"2,47199";"0,00000"
"0,20000";"2,57248";"0,00023"
"0,30000";"2,77821";"0,00064"
"0,40000";"2,97992";"0,00107"
"0,50000";"3,13831";"0,00143"
"0,60000";"3,28955";"0,00175"
"0,70000";"3,43781";"0,00206"
"0,80000";"3,58740";"0,00240"
"0,90000";"3,74979";"0,00273"
"1,00000";"3,91438";"0,00307"
"1,10000";"4,06727";"0,00341"
"1,20000";"4,21945";"0,00373"
"1,30000";"4,38895";"0,00407"
"1,40000";"4,54569";"0,00439"
"1,50000";"4,70069";"0,00471"
"1,60000";"4,87412";"0,00505"
"1,70000";"5,03949";"0,00539"
"1,80000";"5,20145";"0,00574"
"1,90000";"5,37628";"0,00608"
"2,00000";"5,53499";"0,00641"
"2,10000";"5,69631";"0,00673"
"2,20000";"5,87822";"0,00707"
"2,30000";"6,05083";"0,00741"
"2,40000";"6,22362";"0,00775"
"2,50000";"6,39030";"0,00806"
"2,60000";"6,55793";"0,00841"
"2,70000";"6,73365";"0,00875"
"2,80000";"6,90748";"0,00907"
"2,90000";"7,08281";"0,00942"
"3,00000";"7,25605";"0,00974"
"3,10000";"7,42957";"0,01007"
"3,20000";"7,60758";"0,01041"
"3,30000";"7,78092";"0,01075"
"3,40000";"7,95720";"0,01109"
"3,50000";"8,11933";"0,01141"
"3,60000";"8,29508";"0,01174"
"3,70000";"8,47722";"0,01207"
"3,80000";"8,65683";"0,01242"
"3,90000";"8,83170";"0,01275"
"4,00000";"8,99055";"0,01308"
"4,10000";"9,20553";"0,01341"
"4,20000";"9,36326";"0,01374"
"4,30000";"9,53647";"0,01408"
"4,40000";"9,71755";"0,01442"
"4,50000";"9,91768";"0,01476"
"4,60000";"10,08774";"0,01508"
"4,70000";"10,26974";"0,01541"
"4,80000";"10,44045";"0,01574"
"4,90000";"10,58806";"0,01608"
"5,00000";"10,76526";"0,01642"
"5,10000";"10,95447";"0,01675"
"5,20000";"11,19496";"0,01707"
"5,30000";"11,36598";"0,01741"
"5,40000";"11,53510";"0,01775"
"5,50000";"11,71402";"0,01808"
"5,60000";"11,91754";"0,01842"
"5,70000";"12,09719";"0,01876"
"5,80000";"12,27617";"0,01908"
"5,90000";"12,46322";"0,01942"
"6,00000";"12,62819";"0,01975"
"6,10000";"12,84645";"0,02010"
"6,20000";"13,04628";"0,02043"
"6,30000";"13,21942";"0,02077"
"6,40000";"13,37852";"0,02109"
"6,50000";"13,57959";"0,02142"
"6,60000";"13,77660";"0,02174"
"6,70000";"13,97826";"0,02209"
"6,80000";"14,14485";"0,02242"
"6,90000";"14,31936";"0,02275"
"7,00000";"14,50628";"0,02308"
"7,10000";"14,70451";"0,02341"
"7,20000";"14,90754";"0,02375"
"7,30000";"15,07825";"0,02407"
"7,40000";"15,25409";"0,02442"
"7,50000";"15,49291";"0,02476"
"7,60000";"15,67073";"0,02509"
"7,70000";"15,85458";"0,02544"
"7,80000";"16,02398";"0,02578"
"7,90000";"16,22023";"0,02611"
"8,00000";"16,43797";"0,02645"
"8,10000";"16,63661";"0,02679"
"8,20000";"16,84751";"0,02714"
"8,30000";"17,00334";"0,02747"
"8,40000";"17,20268";"0,02781"
"8,50000";"17,40082";"0,02814"
"8,60000";"17,59540";"0,02848"
"8,70000";"17,79517";"0,02881"
"8,80000";"17,98869";"0,02914"
"8,90000";"18,17145";"0,02948"
"9,00000";"18,35572";"0,02981"
"9,10000";"18,55762";"0,03014"
"9,20000";"18,75736";"0,03048"
"9,30000";"18,95801";"0,03082"
"9,40000";"19,13111";"0,03115"
"9,50000";"19,33503";"0,03148"
"9,60000";"19,53304";"0,03180"
"9,70000";"19,71596";"0,03213"
"9,80000";"19,90674";"0,03245"
"9,90000";"20,07326";"0,03275"
"10,00000";"20,25112";"0,03307"
"10,10000";"20,44595";"0,03341"
"10,20000";"20,65724";"0,03374"
"10,30000";"20,85577";"0,03408"
"10,40000";"21,05956";"0,03442"
"10,50000";"21,19397";"0,03476"
"10,60000";"21,41003";"0,03509"
"10,70000";"21,63172";"0,03541"
"10,80000";"21,83090";"0,03576"
"10,90000";"22,12230";"0,03609"
"11,00000";"22,22155";"0,03644"
"11,10000";"22,38761";"0,03679"
"11,20000";"22,60578";"0,03715"
"11,30000";"22,89026";"0,03748"
"11,40000";"23,06182";"0,03783"
"11,50000";"23,22199";"0,03817"
"11,60000";"23,43567";"0,03851"
"11,70000";"23,66225";"0,03885"
"11,80000";"23,86819";"0,03918"
"11,90000";"24,04460";"0,03952"
"12,00000";"24,23503";"0,03984"
"12,10000";"24,42880";"0,04018"
"12,20000";"24,63774";"0,04048"
"12,30000";"24,83895";"0,04079"
"12,40000";"25,02040";"0,04109"
"12,50000";"25,19560";"0,04141"
"12,60000";"25,34151";"0,04173"
"12,70000";"25,56362";"0,04207"
"12,80000";"25,84385";"0,04241"
"12,90000";"26,05912";"0,04275"
"13,00000";"26,19785";"0,04308"
"13,10000";"26,34222";"0,04341"
"13,20000";"26,58791";"0,04376"
"13,30000";"26,86333";"0,04409"
"13,40000";"27,05253";"0,04441"
"13,50000";"27,21615";"0,04475"
"13,60000";"27,39299";"0,04508"
"13,70000";"27,60278";"0,04542"
"13,80000";"27,85415";"0,04575"
"13,90000";"28,05552";"0,04608"
"14,00000";"28,22065";"0,04642"
"14,10000";"28,43165";"0,04675"
"14,20000";"28,64320";"0,04709"
